"Id","Version","Direct","License","LicenseType","Authors","ProjectUrl","Evidence"
"AngleSharp","1.5.2","True","MIT","expression","AngleSharp","https://anglesharp.github.io/","local restored nuspec; not proof of all redistributed native dependencies"
"BouncyCastle.Cryptography","2.6.2","False","MIT","expression","Legion of the Bouncy Castle Inc.","https://www.bouncycastle.org/stable/nuget/csharp/website","local restored nuspec; not proof of all redistributed native dependencies"
"ClosedXML","0.105.0","True","MIT","expression","Jan Havlíček, Francois Botha, Aleksei Pankratev, Manuel de Leon, Amir Ghezelbash","https://github.com/ClosedXML/ClosedXML","local restored nuspec; not proof of all redistributed native dependencies"
"ClosedXML.Parser","2.0.0","False","MIT","expression","Jan Havlíček","https://github.com/ClosedXML/ClosedXML.Parser","local restored nuspec; not proof of all redistributed native dependencies"
"CsvHelper","33.1.0","True","MS-PL OR Apache-2.0","expression","Josh Close","https://joshclose.github.io/CsvHelper/","local restored nuspec; not proof of all redistributed native dependencies"
"DocumentFormat.OpenXml","3.5.1","True","MIT","expression","Microsoft","https://github.com/dotnet/Open-XML-SDK","local restored nuspec; not proof of all redistributed native dependencies"
"DocumentFormat.OpenXml.Framework","3.5.1","False","MIT","expression","Microsoft","https://github.com/dotnet/Open-XML-SDK","local restored nuspec; not proof of all redistributed native dependencies"
"ExcelNumberFormat","1.1.0","False","MIT","expression","ExcelNumberFormat developers","https://github.com/andersnm/ExcelNumberFormat","local restored nuspec; not proof of all redistributed native dependencies"
"Markdig","1.3.2","True","BSD-2-Clause","expression","Alexandre Mutel","https://xoofx.github.io/markdig","local restored nuspec; not proof of all redistributed native dependencies"
"Microsoft.Data.Sqlite","10.0.10","True","MIT","expression","Microsoft","https://docs.microsoft.com/dotnet/standard/data/sqlite/","local restored nuspec; not proof of all redistributed native dependencies"
"Microsoft.Data.Sqlite.Core","10.0.10","False","MIT","expression","Microsoft","https://docs.microsoft.com/dotnet/standard/data/sqlite/","local restored nuspec; not proof of all redistributed native dependencies"
"MimeKit","4.17.0","True","MIT","expression","Jeffrey Stedfast","https://www.mimekit.net/","local restored nuspec; not proof of all redistributed native dependencies"
"PdfPig","0.1.15","True","Apache-2.0","expression","UglyToad","https://github.com/UglyToad/PdfPig","local restored nuspec; not proof of all redistributed native dependencies"
"RBush.Signed","4.0.0","False","MIT","expression","viceroypenguin","","local restored nuspec; not proof of all redistributed native dependencies"
"SharpCompress","1.0.0","True","MIT","expression","Adam Hathcock","https://github.com/adamhathcock/sharpcompress","local restored nuspec; not proof of all redistributed native dependencies"
"SixLabors.Fonts","1.0.0","False","Apache-2.0","expression","Six Labors and contributors","https://github.com/SixLabors/Fonts","local restored nuspec; not proof of all redistributed native dependencies"
"SQLitePCLRaw.bundle_e_sqlite3","2.1.12","True","Apache-2.0","expression","Eric Sink","","local restored nuspec; not proof of all redistributed native dependencies"
"SQLitePCLRaw.core","2.1.12","False","Apache-2.0","expression","Eric Sink","","local restored nuspec; not proof of all redistributed native dependencies"
"SQLitePCLRaw.lib.e_sqlite3","2.1.12","False","Apache-2.0","expression","Eric Sink","","local restored nuspec; not proof of all redistributed native dependencies"
"SQLitePCLRaw.provider.e_sqlite3","2.1.12","False","Apache-2.0","expression","Eric Sink","","local restored nuspec; not proof of all redistributed native dependencies"
"System.Speech","10.0.9","True","MIT","expression","Microsoft","https://dot.net/","local restored nuspec; not proof of all redistributed native dependencies"
"YamlDotNet","18.1.0","True","MIT","expression","Antoine Aubry","https://github.com/aaubry/YamlDotNet/wiki","local restored nuspec; not proof of all redistributed native dependencies"
