"Path","FileVersion","Product","Company","Bytes"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\cublas64_12.dll","6,14,11,1245","NVIDIA CUDA BLAS Library","NVIDIA Corporation","100033536"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\cublasLt64_12.dll","6,14,11,1245","NVIDIA CUDA BLAS Library","NVIDIA Corporation","473551360"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\cudart64_12.dll","6,14,11,12040","NVIDIA CUDA 12.4.127 Runtime","NVIDIA Corporation","553984"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-base.dll",,,,"799744"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-alderlake.dll",,,,"1137664"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-cannonlake.dll",,,,"1376768"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-cascadelake.dll",,,,"1362432"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-cooperlake.dll",,,,"1363456"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-haswell.dll",,,,"1142784"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-icelake.dll",,,,"1370112"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-ivybridge.dll",,,,"1036800"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-piledriver.dll",,,,"1039360"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-sandybridge.dll",,,,"1016832"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-sapphirerapids.dll",,,,"1638400"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-skylakex.dll",,,,"1369600"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-sse42.dll",,,,"857088"
"Runtime\Backends\llama.cpp\b9442\win-cuda-12.4-x64\ggml-cpu-x64.dll",,,,"848384"
